DateID;LabID;OthLabID;Problems;CRA;Error;DC13;Material;Species;SiteID;SiteName;SiteContext;SiteType;Country;Longitude;Latitude;LocQual;Source;Comments
10846;Wk-9444;NA;NA;9323;59;-25;charcoal;NA;10796;Zahrat adh-Dhra' 2;"upppermost level structure 2, locus 3,2., Square L23, ""Phase 2""; Str. 2: L23, 3.2; Locus 3.2";settlement;JO;35.5662;31.2552;A;"Benz 2014; CalPal; Edwards et al. 2002; Sayej 2007; Maher et al. 2011 ; Flohr et al. 2016";NA
10847;Wk-9445;NA;NA;9552;59;-11,7;charcoal;NA;10796;Zahrat adh-Dhra' 2;"Structure 1, Phase2, Locus 22.3. (2:60); Str. 1: E28, 22.3; Locus 22.3";settlement;JO;35.5662;31.2552;A;"Benz 2014; CalPal; Edwards et al. 2002; Sayej 2007; Maher et al. 2011 ; Flohr et al. 2016";NA
10848;Wk-9447;NA;NA;9603;59;-24,6;charcoal;NA;10796;Zahrat adh-Dhra' 2;"Square K22, Locus 6.1. lowest level; Str. 2: K22, 6.1; Locus 6.1";settlement;JO;35.5662;31.2552;A;"Benz 2014; CalPal; Edwards et al. 2002; Sayej 2007; Maher et al. 2011 ; Flohr et al. 2016";NA
10849;Wk-9568;NA;NA;9623;91;-23,7;charcoal;NA;10796;Zahrat adh-Dhra' 2;"Locus 3.3.; Square K22, ""Phase 2""; Str. 2: K22, 3.3; Locus 3.3";settlement;JO;35.5662;31.2552;A;"Benz 2014; CalPal; Edwards et al. 2002; Sayej 2007; Maher et al. 2011 ; Flohr et al. 2016";NA
10850;Wk-9570;NA;NA;9528;61;-27;charcoal;NA;10796;Zahrat adh-Dhra' 2;"Structure 3, Locus 5,4=7.4. Square U22; Str. 3: U22, 5.4; Locus 5.4";settlement;JO;35.5662;31.2552;A;"Benz 2014; CalPal; Edwards et al. 2002; Sayej 2007; Maher et al. 2011 ; Flohr et al. 2016";NA
10851;Wk-9633;NA;NA;9635;59;-26,3;charcoal;NA;10796;Zahrat adh-Dhra' 2;"Structure 1, Phase 2: E 28, 20.1; Str. 1: E28, 20.1; Locus 20.1";settlement;JO;35.5662;31.2552;A;"Benz 2014; Sayej 2007";NA
10852;WSU-671;NA;NA;6050;270;NA;NA;NA;16337;Tepe Langar;NA;settlement;IR;57,58;30.93;B;"Voigt and Dyson 1992; CalPal; Flohr et al. 2016";NA
10853;WSU-871;NA;NA;5610;140;NA;NA;NA;15757;Tepe Yahya;Tr, C, Test tr. 1, 3-4;settlement;IR;56.8675;28.330833;A;"Lamberg-Karlowsky 1972; Marshall 2012; CalPal; Flohr et al. 2016";NA
10854;WSU-872;NA;NA;5580;280;NA;NA;NA;15757;Tepe Yahya;Tr, C, Test tr. 7, level 1;settlement;IR;56.8675;28.330833;A;Flohr et al. 2016;NA
10855;X30334;NA;NA;4194;22;NA;charcoal;NA;303284;Köhne Shahar;floor, F,05 structure;settlement;TR;44.249226;39.476946;A;Alizadeh et al. 2018;NA
